pname,purl
pugixml,pkg:generic/pugixml@1.14?source_hash=610f98375424b5614754a6f34a491adbddaaec074e9044577d965160ec103d2e
zstd,pkg:generic/zstd@1.5.7?source_hash=eb33e51f49a15e023950cd7825ca74a4a2b43db8354825ac24fc1b7ee09e6fa3
libusb,pkg:generic/libusb@1.0.27?source_hash=ffaa41d741a8a3bee244ac8e54a72ea05bf2879663c098c82fc5757853441575
rdkafka,pkg:generic/librdkafka@2.5.3?source_hash=eaa1213fdddf9c43e28834d9a832d9dd732377d35121e42f875966305f52b8ff
enlog,pkg:generic/enlog@v1.8?source_hash=7bbff2726d90068d4fb22a78992f53638e75fd7a6cde63f25850b819a88523e6
libpng,pkg:generic/libpng@1.6.47?source_hash=631a4c58ea6c10c81f160c4b21fa8495b715d251698ebc2552077e8450f30454
nonstd-string-view-lite,pkg:generic/string-view-lite@1.3.0?source_hash=d83adb0495ccfba50ae5a1af70bde04f33a26dc40599b0ce9e55f09c075daf23
wayland-protocols,pkg:generic/wayland-protocols@1.41?source_hash=2786b6b1b79965e313f2c289c12075b9ed700d41844810c51afda10ee329576b
lmdb,pkg:generic/openldap@LMDB_0.9.29?source_hash=d4c668167a2d703ef91db733b4069b8b74dbc374405855be6626b45e2a7e2dd3
libxmlpp,pkg:generic/libxml++@5.4.0?source_hash=e9a23c436686a94698d2138e6bcbaf849121d63bfa0f50dc34fefbfd79566848
libxkbcommon,pkg:generic/libxkbcommon@1.7.0?source_hash=65782f0a10a4b455af9c6baab7040e2f537520caa2ec2092805cdfd36863b247
cmark-gfm,pkg:generic/cmark-gfm@0.29.0.gfm.13?source_hash=5abc61798ebd9de5660bc076443c07abad2b8d15dbc11094a3a79644b8ad243a
protobuf-c,pkg:generic/protobuf-c@1.5.0?source_hash=7b404c63361ed35b3667aec75cc37b54298d56dd2bcf369de3373212cc06fd98
libkqueue,pkg:generic/libkqueue@2.6.2?source_hash=c3502d918ad167957302314b6d97e14052beabc5f5698ea76d0527878900d300
libssh2,pkg:generic/libssh2-libssh2@1.11.1?source_hash=82b35c61c78b475647bdc981a183c5b5ab0d979e1caee94186e8f9150f2b0d0d
dragonbox,pkg:generic/dragonbox@1.1.2?source_hash=60938a42c1013dd214c976a019fcde893c603379f059881cb86ed0c2637e2f19
imgui-docking,pkg:generic/imgui-1.91.6@docking?source_hash=C78A11730F6E3F4911E151F96F2AA43E96ED77119599D8E7302F8294DFDB40D1
wren,pkg:generic/wren@0.4.0?source_hash=23c0ddeb6c67a4ed9285bded49f7c91714922c2e7bb88f42428386bf1cf7b339
liburing,pkg:generic/liburing-liburing@2.5?source_hash=456f5f882165630f0dc7b75e8fd53bd01a955d5d4720729b4323097e6e9f2a98
google-woff2,pkg:generic/woff2@1.0.2?source_hash=add272bb09e6384a4833ffca4896350fdb16e0ca22df68c0384773c67a175594
fontconfig,pkg:generic/fontconfig@2.16.0?source_hash=6a33dc555cc9ba8b10caf7695878ef134eeb36d0af366041f639b1da9b6ed220
simdjson,pkg:generic/simdjson@3.11.3?source_hash=eeb10661047e476aa3b535d14a32af95690691778d7afe0630a344654ff9759a
libgpiod,pkg:generic/libgpiod@1.6.5?source_hash=1473d3035b506065393a4569763cf6b5c98e59c8f865326374ebadffa2578f3a
nng,pkg:generic/nng@1.5.2?source_hash=f8b25ab86738864b1f2e3128e8badab581510fa8085ff5ca9bb980d317334c46
libunibreak,pkg:generic/libunibreak@6.1?source_hash=cc4de0099cf7ff05005ceabff4afed4c582a736abc38033e70fdac86335ce93f
spng,pkg:generic/libspng@0.7.4?source_hash=47ec02be6c0a6323044600a9221b049f63e1953faf816903e7383d4dc4234487
utf8proc,pkg:generic/utf8proc@2.9.0?source_hash=bd215d04313b5bc42c1abedbcb0a6574667e31acee1085543a232204e36384c4
tinyxml2,pkg:generic/tinyxml2@11.0.0?source_hash=5556deb5081fb246ee92afae73efd943c889cef0cafea92b0b82422d6a18f289
libebml,pkg:generic/libebml-release@1.4.5?source_hash=86c99573cd0957884f26547d1a8fa0c979e4d6d57484dfd387345846e6720f49
trompeloeil,pkg:generic/trompeloeil@49?source_hash=2523571fb7920b2813cbc23b46e60294aba8ead7eba434bfec69c24408615593
nonstd-expected-lite,pkg:generic/expected-lite@0.3.0?source_hash=fc942ce0614e9498bff6f35f1ee8d58f83026bac904d9ab427a2e822b5bdfcbd
nanobind,pkg:generic/nanobind@2.4.0?source_hash=bb35deaed7efac5029ed1e33880a415638352f757d49207a8e6013fefb6c49a7
lcms2,pkg:generic/lcms2@2.17?source_hash=d11af569e42a1baa1650d20ad61d12e41af4fead4aa7964a01f93b08b53ab074
fdk-aac,pkg:generic/fdk-aac@2.0.3?source_hash=829b6b89eef382409cda6857fd82af84fabb63417b08ede9ea7a553f811cb79e
entt,pkg:generic/entt@3.11.0?source_hash=7cca2bd4d4aeef6c5bdbe06b9e047e7f2519ebaff901207cc81ac71a2bbe185e
sassc,pkg:generic/sassc@3.6.2?source_hash=608dc9002b45a91d11ed59e352469ecc05e4f58fc1259fc9a9f5b8f0f8348a03
zlib,pkg:generic/zlib@1.3.1?source_hash=9a93b2b7dfdac77ceba5a558a580e74667dd6fede4585b91eefb60f03b72df23
libupnp,pkg:generic/libupnp@1.14.20?source_hash=ee4b4f85aa00ce38b782cf480fa569a90c7ccb23b0a9a076073a2d0bd6227335
m4,pkg:generic/m4@1.4.19?source_hash=63aede5c6d33b6d9b13511cd0be2cac046f2e70fd0a07aa9573a04a82783af96
cxxopts,pkg:generic/cxxopts@3.2.0?source_hash=9f43fa972532e5df6c5fd5ad0f5bac606cdec541ccaf1732463d8070bbb7f03b
zydis,pkg:generic/zydis@f6265fdcf35c86750627adddf833616399986570?source_hash=ae98d240b2db1868ab1efc41757e8d828e86c60adf8365176d8c6cd8b5fab70f
c-flags,pkg:generic/c-flags@1.5.8?source_hash=095465ecc1a4abe5e811e19816304283c59470035a18cf58861dc83aec20b209
sqlite3,pkg:generic/sqlite-amalgamation@3490100?source_hash=6cebd1d8403fc58c30e93939b246f3e6e58d0765a5cd50546f16c00fd805d2c3
concurrentqueue,pkg:generic/concurrentqueue@1.0.4?source_hash=87fbc9884d60d0d4bf3462c18f4c0ee0a9311d0519341cac7cbd361c885e5281
jansson,pkg:generic/jansson@2.14?source_hash=fba956f27c6ae56ce6dfd52fbf9d20254aad42821f74fa52f83957625294afb9
pango,pkg:generic/pango@1.56.2?source_hash=03b7afd7ed730bef651155cbfb5320556b8ef92b0dc04abbb9784dcd4057afe7
oatpp-sqlite,pkg:generic/oatpp-sqlite@1.3.0?source_hash=f3abd7b0b1ea49fd4882fcf074223fdc4a2c82e9a9429341c3be48dd6187ebfd
lua,pkg:generic/lua@5.4.6?source_hash=7d5ea1b9cb6aa0b59ca3dde1c6adcb57ef83a1ba8e5432c0ecd06bf439b3ad88
